# EDISCSID                    RA        Dec         V1     R1     I1     V2     R2     I2     V3    R3    I3    OBJFLAG1?   OBJFLAG2?   CLASS_STAR1?   CLASS_STAR   wmin   Starflag  
  EDCSNJ1018411-1208467   10.31143    -12.146302   25.473   99.0     24.202   25.078   99.0     23.753   24.758   99.0     23.768   0       0       0.62    0.08    0.5    0         
  EDCSNJ1018411-1211210   10.311421   -12.189178   25.639   99.0     24.413   25.318   99.0     24.271   25.33    99.0     24.725   0       0       0.57    0.05    1.0    0         
  EDCSNJ1018411-1207438   10.311429   -12.128838   23.884   99.0     22.96    23.352   99.0     22.359   23.295   99.0     22.253   0       0       0.46    0.07    0.0    0         
  EDCSNJ1018411-1213195   10.311407   -12.222084   24.537   99.0     22.575   24.102   99.0     22.236   23.973   99.0     22.234   3       3       0.3     0.04    0.57   0         
  EDCSNJ1018411-1213385   10.311404   -12.22735    26.04    99.0     24.28    25.599   99.0     23.696   25.495   99.0     23.498   0       0       0.44    0.0     0.5    0         
  EDCSNJ1018410-1212200   10.311397   -12.205558   25.944   99.0     24.706   25.922   99.0     24.224   27.863   99.0     24.424   0       0       0.57    0.68    0.99   0         
  EDCSNJ1018411-1209417   10.311403   -12.161577   25.636   99.0     25.037   24.828   99.0     24.441   24.653   99.0     24.349   0       0       0.55    0.56    0.58   0         
  EDCSNJ1018411-1208444   10.311403   -12.14567    25.248   99.0     24.496   24.584   99.0     23.968   24.227   99.0     23.677   0       0       0.7     0.73    0.5    0         
  EDCSNJ1018410-1209439   10.311399   -12.162208   26.306   99.0     24.87    25.91    99.0     24.738   25.465   99.0     24.572   0       0       0.38    0.72    0.59   0         
  EDCSNJ1018410-1208015   10.311397   -12.133752   24.938   99.0     23.822   24.401   99.0     23.528   24.213   99.0     23.533   0       0       0.06    0.04    0.14   0         
  EDCSNJ1018410-1208173   10.311393   -12.13813    25.271   99.0     24.392   25.23    99.0     24.463   25.245   99.0     24.456   0       0       0.8     0.12    0.34   0         
  EDCSNJ1018410-1214106   10.311377   -12.236266   24.753   99.0     24.073   24.377   99.0     23.695   24.223   99.0     23.566   0       0       0.91    0.32    0.49   0         
  EDCSNJ1018410-1212118   10.311383   -12.203285   27.092   99.0     25.08    26.18    99.0     24.63    26.208   99.0     24.775   0       0       0.4     0.5     1.0    0         
  EDCSNJ1018410-1212238   10.311381   -12.206605   27.366   99.0     24.941   27.448   99.0     24.622   27.628   99.0     24.145   0       0       0.39    0.71    1.0    0         
  EDCSNJ1018410-1211427   10.311379   -12.195206   25.524   99.0     24.592   25.132   99.0     23.974   25.125   99.0     23.804   0       0       0.7     0.07    0.99   0         
  EDCSNJ1018409-1212286   10.311375   -12.207933   24.193   99.0     23.003   23.839   99.0     22.716   23.693   99.0     22.728   0       0       0.43    0.06    0.99   0         
  EDCSNJ1018409-1210427   10.311365   -12.178526   24.808   99.0     24.135   24.505   99.0     23.87    24.452   99.0     23.77    3       3       0.93    0.57    0.99   0         
  EDCSNJ1018409-1212584   10.311355   -12.216209   25.763   99.0     24.666   25.198   99.0     24.02    24.902   99.0     23.606   2       2       0.55    0.01    0.81   0         
  EDCSNJ1018409-1208441   10.311365   -12.14558    25.509   99.0     24.32    24.931   99.0     24.092   24.594   99.0     23.777   0       0       0.66    0.18    0.5    0         
  EDCSNJ1018409-1213206   10.311353   -12.222397   22.999   99.0     22.232   22.625   99.0     21.855   22.545   99.0     21.748   3       3       0.07    0.03    0.55   0         
  EDCSNJ1018409-1213146   10.31135    -12.22073    25.229   99.0     24.557   24.682   99.0     23.981   24.615   99.0     24.242   0       0       0.73    0.69    0.63   0         
  EDCSNJ1018408-1214275   10.311343   -12.240964   25.312   99.0     23.578   25.241   99.0     23.666   25.736   99.0     24.092   0       0       0.88    0.72    0.5    0         
  EDCSNJ1018409-1207473   10.311361   -12.129803   26.561   99.0     25.401   25.765   99.0     24.98    25.389   99.0     24.018   0       0       0.67    0.46    0.0    0         
  EDCSNJ1018409-1207530   10.311357   -12.131379   26.529   99.0     24.884   27.445   99.0     25.748   27.383   99.0     99.0     0       0       0.38    0.32    0.07   0         
  EDCSNJ1018408-1211132   10.311347   -12.187012   24.697   99.0     24.025   24.484   99.0     23.736   24.426   99.0     23.75    0       0       0.96    0.06    0.98   0         
  EDCSNJ1018408-1213176   10.311341   -12.221569   24.48    99.0     23.433   23.914   99.0     22.962   23.736   99.0     22.785   3       3       0.64    0.09    0.61   0         
  EDCSNJ1018408-1210414   10.311334   -12.178156   22.959   22.144   21.238   22.734   21.919   21.023   22.635   21.82    20.973   2       2       0.98    0.97    0.99   1         
  EDCSNJ1018408-1208252   10.311334   -12.140332   27.691   99.0     24.941   26.786   99.0     24.23    26.183   99.0     24.108   0       0       0.37    0.67    0.4    0         
  EDCSNJ1018408-1209322   10.311325   -12.158947   25.636   99.0     24.756   25.341   99.0     24.433   24.868   99.0     23.836   0       0       0.62    0.55    0.5    0         
  EDCSNJ1018407-1213211   10.311307   -12.222524   23.028   99.0     22.341   22.624   99.0     21.953   22.534   99.0     21.842   3       3       0.11    0.03    0.55   0         
  EDCSNJ1018407-1212361   10.311309   -12.210024   26.153   99.0     24.943   25.73    99.0     25.049   25.145   99.0     24.701   0       0       0.37    0.58    1.0    0         
  EDCSNJ1018407-1208199   10.311318   -12.138852   24.204   99.0     23.785   23.93    99.0     23.357   23.785   99.0     23.129   0       0       0.97    0.92    0.34   0         
  EDCSNJ1018407-1214214   10.311301   -12.239277   24.808   99.0     23.84    24.734   99.0     23.669   24.957   99.0     23.739   0       0       0.95    0.19    0.5    0         
  EDCSNJ1018407-1212161   10.311304   -12.204469   22.362   99.0     21.445   22.015   99.0     21.107   21.969   99.0     21.056   0       0       0.26    0.03    0.99   0         
  EDCSNJ1018407-1212546   10.311299   -12.215165   23.796   22.733   20.891   23.53    22.467   20.711   23.48    22.417   20.682   0       0       0.97    0.98    0.85   1         
  EDCSNJ1018407-1208254   10.311308   -12.140378   25.723   99.0     24.94    25.438   99.0     24.202   25.488   99.0     24.137   0       0       0.58    0.55    0.41   0         
  EDCSNJ1018407-1208164   10.311308   -12.137891   25.523   99.0     23.977   24.612   99.0     23.266   24.482   99.0     23.174   0       0       0.03    0.0     0.34   0         
  EDCSNJ1018407-1211183   10.311297   -12.188421   24.573   99.0     23.637   24.336   99.0     23.474   24.279   99.0     23.44    0       0       0.96    0.95    0.99   0         
  EDCSNJ1018407-1210273   10.311297   -12.174243   24.252   99.0     22.941   23.718   99.0     22.418   23.649   99.0     22.314   0       0       0.01    0.01    0.99   0         
  EDCSNJ1018407-1209413   10.311298   -12.161481   22.338   99.0     20.718   21.767   99.0     20.154   21.651   99.0     20.03    0       0       0.03    0.03    0.56   0         
  EDCSNJ1018407-1209343   10.311295   -12.15952    24.738   99.0     23.174   24.526   99.0     22.965   24.191   99.0     22.852   0       0       0.97    0.71    0.5    0         
  EDCSNJ1018406-1214019   10.311282   -12.23386    25.578   99.0     23.656   25.214   99.0     23.614   24.803   99.0     23.514   0       0       0.63    0.46    0.5    0         
  EDCSNJ1018407-1207440   10.311295   -12.128895   26.416   99.0     24.838   25.479   99.0     24.016   25.078   99.0     23.406   2       2       0.38    0.49    0.0    0         
  EDCSNJ1018406-1211106   10.311282   -12.186283   25.444   99.0     24.843   25.32    99.0     24.494   25.282   99.0     24.95    0       0       0.63    0.67    0.98   0         
  EDCSNJ1018406-1211020   10.311279   -12.183895   25.82    99.0     25.763   25.661   99.0     25.52    26.145   99.0     26.235   0       0       0.55    0.48    0.99   0         
  EDCSNJ1018406-1212266   10.311274   -12.20738    25.359   99.0     24.559   25.096   99.0     24.277   25.03    99.0     24.33    2       2       0.8     0.55    1.0    0         
  EDCSNJ1018406-1212284   10.311273   -12.207886   25.334   99.0     23.971   24.727   99.0     23.639   24.414   99.0     23.653   2       2       0.27    0.03    0.99   0         
  EDCSNJ1018406-1213549   10.311265   -12.231923   26.149   99.0     24.538   25.996   99.0     24.518   26.203   99.0     24.664   0       0       0.44    0.68    0.5    0         
  EDCSNJ1018406-1214082   10.311264   -12.235613   24.624   99.0     22.541   24.038   99.0     22.165   23.883   99.0     22.096   0       0       0.06    0.14    0.49   0         
  EDCSNJ1018406-1207599   10.311279   -12.133314   24.417   99.0     23.609   23.584   99.0     22.935   23.398   99.0     22.746   0       0       0.01    0.0     0.14   0         
  EDCSNJ1018406-1211327   10.311268   -12.192429   22.759   21.816   20.216   22.619   21.676   20.058   22.602   21.659   20.025   0       0       0.98    0.98    0.99   1         
  EDCSNJ1018406-1208073   10.311265   -12.135372   24.135   99.0     23.632   23.862   99.0     23.413   23.898   99.0     23.665   0       0       0.98    0.47    0.21   0         
  EDCSNJ1018405-1213207   10.31125    -12.222423   25.895   99.0     24.475   25.511   99.0     24.419   25.695   99.0     24.438   0       0       0.4     0.43    0.55   0         
  EDCSNJ1018405-1210404   10.311256   -12.177899   25.062   99.0     24.082   24.555   99.0     23.614   24.197   99.0     23.21    3       3       0.92    0.11    0.99   0         
  EDCSNJ1018405-1214119   10.311245   -12.236631   25.545   99.0     24.512   25.432   99.0     24.771   25.698   99.0     24.34    0       0       0.71    0.17    0.5    0         
  EDCSNJ1018405-1214332   10.311243   -12.242551   24.843   99.0     23.587   24.607   99.0     23.54    24.462   99.0     23.593   0       0       0.97    0.45    0.45   0         
  EDCSNJ1018405-1210421   10.311247   -12.178372   25.473   99.0     24.65    24.744   99.0     23.948   24.32    99.0     23.583   3       3       0.75    0.0     0.99   0         
  EDCSNJ1018404-1212152   10.311231   -12.204236   25.525   99.0     24.395   25.034   99.0     23.8     24.679   99.0     23.435   0       0       0.74    0.11    1.0    0         
  EDCSNJ1018404-1210397   10.311233   -12.177698   25.2     99.0     23.977   24.886   99.0     23.735   24.612   99.0     23.518   3       3       0.91    0.52    0.99   0         
  EDCSNJ1018404-1211463   10.311219   -12.196198   26.182   99.0     24.602   26.068   99.0     24.373   26.902   99.0     24.582   0       0       0.36    0.34    1.0    0         
  EDCSNJ1018404-1210046   10.311223   -12.16794    24.54    99.0     23.334   24.217   99.0     23.025   24.173   99.0     22.901   0       0       0.09    0.01    0.83   0         
  EDCSNJ1018404-1214260   10.311211   -12.24056    23.069   99.0     21.606   22.566   99.0     21.119   22.49    99.0     21.065   0       0       0.03    0.03    0.5    0         
  EDCSNJ1018404-1213177   10.311213   -12.221577   25.163   99.0     23.739   24.933   99.0     23.494   24.805   99.0     23.727   3       3       0.7     0.01    0.61   0         
  EDCSNJ1018404-1212329   10.311212   -12.209126   25.938   99.0     24.482   26.32    99.0     24.473   99.0     99.0     25.235   0       0       0.6     0.58    0.99   0         
  EDCSNJ1018403-1213544   10.311203   -12.231781   25.144   99.0     24.084   24.932   99.0     24.018   24.877   99.0     23.833   0       0       0.86    0.92    0.49   0         
  EDCSNJ1018403-1213352   10.311201   -12.226456   23.277   99.0     22.302   22.932   99.0     21.977   22.91    99.0     21.935   0       0       0.1     0.03    0.49   0         
  EDCSNJ1018404-1207490   10.311214   -12.130274   23.687   99.0     22.48    23.029   99.0     21.799   22.831   99.0     21.615   2       2       0.03    0.02    0.0    0         
  EDCSNJ1018403-1213462   10.311194   -12.229509   26.09    99.0     24.754   25.823   99.0     24.675   26.647   99.0     26.253   0       0       0.38    0.68    0.5    0         
  EDCSNJ1018403-1213167   10.311193   -12.221302   25.88    99.0     24.451   25.777   99.0     24.23    25.319   99.0     24.599   3       3       0.6     0.46    0.62   0         
  EDCSNJ1018403-1211224   10.311198   -12.189557   25.731   99.0     25.055   25.4     99.0     24.473   25.257   99.0     24.267   0       0       0.63    0.38    0.99   0         
  EDCSNJ1018403-1214139   10.311183   -12.237194   28.075   99.0     25.123   28.408   99.0     24.939   99.0     99.0     25.071   0       0       0.35    0.54    0.5    0         
  EDCSNJ1018403-1212153   10.311188   -12.204262   24.584   99.0     23.536   24.258   99.0     23.206   24.019   99.0     23.102   0       0       0.97    0.1     1.0    0         
  EDCSNJ1018403-1208280   10.311196   -12.141099   23.736   99.0     22.745   23.547   99.0     22.638   23.532   99.0     22.596   0       0       0.97    0.86    0.45   0         
  EDCSNJ1018402-1214191   10.311175   -12.238634   22.423   21.623   20.731   22.25    21.45    20.544   22.226   21.426   20.514   0       0       0.98    0.98    0.5    1         
  EDCSNJ1018402-1212426   10.311177   -12.211821   26.236   99.0     23.928   25.901   99.0     23.566   26.949   99.0     23.55    0       0       0.49    0.94    0.99   0         
  EDCSNJ1018402-1214053   10.311171   -12.2348     24.216   99.0     23.498   23.622   99.0     22.802   23.53    99.0     22.716   1       1       0.42    0.02    0.5    0         
  EDCSNJ1018402-1212529   10.311173   -12.214706   24.697   99.0     22.744   24.331   99.0     22.415   24.409   99.0     22.376   0       0       0.9     0.09    0.86   0         
  EDCSNJ1018402-1213400   10.31117    -12.22777    25.028   23.921   22.39    24.835   23.728   22.234   24.575   23.468   22.236   3       3       0.93    0.98    0.5    1         
  EDCSNJ1018402-1212212   10.311172   -12.205884   27.02    99.0     24.79    25.695   99.0     24.753   25.596   99.0     24.989   0       0       0.37    0.39    0.99   0         
  EDCSNJ1018402-1213556   10.311164   -12.232104   25.454   99.0     23.929   24.859   99.0     23.455   24.622   99.0     23.33    3       3       0.84    0.01    0.5    0         
  EDCSNJ1018402-1211428   10.311167   -12.195231   26.53    99.0     24.521   26.514   99.0     24.821   26.651   99.0     24.971   0       0       0.38    0.44    1.0    0         
  EDCSNJ1018402-1208594   10.311173   -12.149821   26.766   99.0     23.907   25.862   99.0     23.385   25.17    99.0     23.218   1       1       0.43    0.03    0.5    0         
  EDCSNJ1018402-1213423   10.311159   -12.228418   24.717   99.0     22.809   24.339   99.0     22.523   24.4     99.0     22.603   3       3       0.97    0.23    0.5    0         
  EDCSNJ1018402-1207439   10.311172   -12.128858   25.703   99.0     24.596   25.131   99.0     24.042   24.996   99.0     23.765   0       0       0.53    0.11    0.0    0         
  EDCSNJ1018402-1208126   10.31117    -12.136829   25.735   99.0     24.344   25.807   99.0     24.172   26.496   99.0     24.53    0       0       0.73    0.85    0.27   0         
  EDCSNJ1018402-1210038   10.311164   -12.167728   25.373   99.0     24.487   25.239   99.0     24.003   25.83    99.0     24.272   0       0       0.87    0.19    0.82   0         
  EDCSNJ1018402-1211029   10.311159   -12.184141   24.893   99.0     23.606   24.338   99.0     23.265   24.393   99.0     23.261   0       0       0.14    0.01    0.99   0         
  EDCSNJ1018402-1210570   10.311156   -12.182491   25.884   99.0     24.631   25.604   99.0     24.191   25.69    99.0     24.116   0       0       0.42    0.7     0.99   0         
  EDCSNJ1018401-1213304   10.311149   -12.225118   25.352   99.0     23.827   25.031   99.0     23.959   24.793   99.0     24.058   0       0       0.91    0.94    0.5    0         
  EDCSNJ1018402-1210206   10.311157   -12.172386   24.562   99.0     22.642   23.938   99.0     22.111   23.76    99.0     21.97    0       0       0.59    0.08    0.99   0         
  EDCSNJ1018402-1208035   10.311162   -12.134297   24.324   99.0     22.724   23.966   99.0     22.385   23.877   99.0     22.396   0       0       0.08    0.02    0.16   0         
  EDCSNJ1018401-1214013   10.311144   -12.233682   22.706   99.0     20.668   22.116   99.0     20.186   21.966   99.0     20.08    0       0       0.06    0.03    0.5    0         
  EDCSNJ1018402-1207470   10.311158   -12.129735   24.159   99.0     22.669   23.805   99.0     22.352   23.581   99.0     22.187   3       3       0.87    0.16    0.0    0         
  EDCSNJ1018401-1212085   10.311146   -12.202358   24.642   99.0     24.005   24.355   99.0     23.849   24.246   99.0     23.946   3       3       0.47    0.01    1.0    0         
  EDCSNJ1018401-1212144   10.311145   -12.203991   25.91    99.0     24.711   25.521   99.0     24.806   25.416   99.0     25.223   0       0       0.48    0.23    1.0    0         
  EDCSNJ1018401-1212007   10.311138   -12.200206   21.667   99.0     20.604   21.209   99.0     20.167   21.089   99.0     20.048   0       0       0.05    0.03    0.99   0         
  EDCSNJ1018401-1207520   10.311143   -12.131112   24.925   99.0     24.328   24.489   99.0     24.176   24.426   99.0     24.308   0       0       0.93    0.04    0.05   0         
  EDCSNJ1018401-1213557   10.311126   -12.232132   25.793   99.0     24.516   25.507   99.0     24.384   25.159   99.0     23.92    3       3       0.66    0.0     0.5    0         
  EDCSNJ1018401-1213074   10.311128   -12.218719   24.356   99.0     23.235   24.036   99.0     22.957   23.96    99.0     22.939   0       0       0.31    0.02    0.69   0         
  EDCSNJ1018401-1210535   10.31113    -12.181515   23.26    99.0     22.153   23.001   99.0     21.864   22.966   99.0     21.833   0       0       0.98    0.04    0.99   0         
  EDCSNJ1018401-1209404   10.311129   -12.161221   21.647   99.0     20.77    20.696   99.0     19.855   20.392   99.0     19.56    0       0       0.03    0.03    0.56   0         
  EDCSNJ1018401-1208144   10.31113    -12.137327   24.751   99.0     22.984   24.494   99.0     22.839   24.471   99.0     22.824   0       0       0.96    0.55    0.31   0         
  EDCSNJ1018400-1213329   10.311114   -12.225818   25.386   99.0     24.937   25.241   99.0     25.446   25.291   99.0     99.0     0       0       0.8     0.75    0.5    0         
  EDCSNJ1018400-1212201   10.311114   -12.20558    26.658   99.0     24.835   26.825   99.0     25.067   27.095   99.0     26.45    0       0       0.38    0.65    0.99   0         
  EDCSNJ1018400-1211243   10.311114   -12.190086   26.133   99.0     25.428   25.746   99.0     25.503   25.453   99.0     25.415   0       0       0.49    0.49    0.99   0         
  EDCSNJ1018400-1213213   10.311104   -12.22257    26.783   99.0     25.049   27.193   99.0     25.012   99.0     99.0     24.744   0       0       0.46    0.42    0.55   0         
  EDCSNJ1018400-1209062   10.311112   -12.151732   25.733   99.0     23.318   25.468   99.0     23.133   25.153   99.0     22.859   0       0       0.75    0.8     0.48   0         
  EDCSNJ1018400-1212072   10.311099   -12.201994   25.348   99.0     22.735   24.698   99.0     22.337   24.679   99.0     22.253   2       2       0.41    0.05    0.99   0         
  EDCSNJ1018399-1212568   10.311095   -12.21579    25.953   99.0     24.676   25.53    99.0     24.714   25.326   99.0     24.797   0       0       0.51    0.38    0.83   0         
  EDCSNJ1018400-1209330   10.311098   -12.159177   25.264   99.0     23.763   24.83    99.0     23.511   24.316   99.0     23.283   0       0       0.29    0.2     0.5    0         
  EDCSNJ1018399-1209582   10.311097   -12.166159   26.057   99.0     24.993   25.619   99.0     24.621   25.4     99.0     24.741   0       0       0.55    0.7     0.73   0         
  EDCSNJ1018399-1210449   10.311092   -12.179147   25.924   99.0     25.001   26.155   99.0     25.14    25.48    99.0     24.503   0       0       0.51    0.5     0.99   0         
  EDCSNJ1018399-1207565   10.311094   -12.132374   26.481   99.0     23.753   25.991   99.0     23.491   26.075   99.0     23.321   0       0       0.35    0.08    0.1    0         
  EDCSNJ1018399-1209555   10.311087   -12.165423   25.355   99.0     22.639   24.937   99.0     22.307   24.799   99.0     22.246   0       0       0.69    0.42    0.7    0         
  EDCSNJ1018399-1210152   10.311077   -12.170876   24.958   99.0     24.13    24.787   99.0     24.044   24.792   99.0     24.407   0       0       0.96    0.42    0.93   0         
  EDCSNJ1018399-1208013   10.311076   -12.133694   24.625   99.0     23.368   24.268   99.0     23.041   24.332   99.0     23.044   0       0       0.12    0.01    0.15   0         
  EDCSNJ1018398-1214307   10.311057   -12.241849   26.381   99.0     25.205   99.0     99.0     26.306   99.0     99.0     99.0     0       0       0.4     0.51    0.5    0         
  EDCSNJ1018398-1209213   10.311068   -12.155926   25.328   99.0     24.302   24.974   99.0     23.82    24.782   99.0     23.498   0       0       0.64    0.19    0.49   0         
  EDCSNJ1018399-1207436   10.311071   -12.128785   26.658   99.0     25.053   26.075   99.0     24.462   26.119   99.0     23.872   0       0       0.58    0.51    0.0    0         
  EDCSNJ1018398-1209468   10.311065   -12.163009   23.922   99.0     22.714   23.625   99.0     22.434   23.581   99.0     22.388   0       0       0.9     0.05    0.63   0         
  EDCSNJ1018398-1212544   10.311057   -12.215123   23.292   99.0     22.028   23.074   99.0     21.804   22.985   99.0     21.768   0       0       0.98    0.28    0.85   0         
  EDCSNJ1018398-1213399   10.311051   -12.227753   23.646   99.0     21.395   23.382   99.0     21.175   23.315   99.0     21.156   0       0       0.98    0.81    0.5    0         
  EDCSNJ1018398-1211152   10.311055   -12.187544   24.353   23.339   21.855   24.09    23.076   21.688   23.914   22.9     21.646   0       0       0.96    0.98    1.0    1         
  EDCSNJ1018398-1211484   10.311049   -12.196788   25.09    99.0     24.496   24.941   99.0     24.519   24.918   99.0     24.725   0       0       0.85    0.78    1.0    0         
  EDCSNJ1018398-1213235   10.311043   -12.223185   26.762   99.0     25.028   26.411   99.0     24.756   25.815   99.0     24.931   0       0       0.39    0.67    0.5    0         
  EDCSNJ1018397-1213486   10.311036   -12.230161   25.495   99.0     24.894   25.28    99.0     25.315   25.196   99.0     25.838   0       0       0.59    0.6     0.49   0         
  EDCSNJ1018398-1208593   10.311047   -12.149804   17.994   99.0     17.21    17.844   99.0     17.03    17.815   99.0     16.994   4       4       1.0     0.98    0.5    0         
  EDCSNJ1018397-1213285   10.311034   -12.224572   23.825   99.0     22.572   23.401   99.0     22.184   23.312   99.0     22.174   0       0       0.03    0.02    0.49   0         
  EDCSNJ1018397-1210269   10.31104    -12.174126   25.088   99.0     24.201   24.952   99.0     24.164   24.988   99.0     24.231   0       0       0.93    0.14    0.99   0         
  EDCSNJ1018397-1212449   10.311034   -12.212468   25.723   99.0     24.068   25.492   99.0     23.684   25.404   99.0     23.677   0       0       0.36    0.0     0.95   0         
  EDCSNJ1018398-1207463   10.311044   -12.129521   27.349   99.0     25.135   25.95    99.0     24.173   24.991   99.0     23.366   0       0       0.42    0.51    0.0    0         
  EDCSNJ1018397-1212217   10.311032   -12.206029   24.547   99.0     23.84    24.147   99.0     23.464   24.049   99.0     23.398   0       0       0.92    0.41    0.99   0         
  EDCSNJ1018397-1211332   10.311033   -12.192562   24.689   99.0     23.674   24.564   99.0     23.723   24.718   99.0     23.971   0       0       0.96    0.97    0.99   0         
  EDCSNJ1018397-1210479   10.311035   -12.179977   23.824   99.0     22.848   23.491   99.0     22.506   23.456   99.0     22.452   0       0       0.55    0.02    0.99   0         
  EDCSNJ1018397-1210108   10.311036   -12.16968    27.226   99.0     25.587   27.195   99.0     25.733   26.729   99.0     26.836   0       0       0.38    0.47    0.87   0         
  EDCSNJ1018397-1214034   10.311024   -12.234273   25.996   99.0     24.628   25.538   99.0     24.107   25.252   99.0     24.046   0       0       0.47    0.01    0.5    0         
  EDCSNJ1018397-1214148   10.31102    -12.237431   25.011   99.0     23.699   24.857   99.0     23.562   24.734   99.0     23.392   0       0       0.91    0.1     0.5    0         
  EDCSNJ1018397-1210441   10.311019   -12.178912   27.117   99.0     24.134   26.911   99.0     23.77    26.562   99.0     23.65    0       0       0.38    0.1     0.99   0         
  EDCSNJ1018397-1209427   10.311016   -12.161874   25.646   99.0     24.658   25.57    99.0     24.2     25.067   99.0     23.964   0       0       0.59    0.5     0.59   0         
  EDCSNJ1018396-1211026   10.311012   -12.184067   25.009   99.0     23.485   24.861   99.0     23.12    24.87    99.0     23.118   0       0       0.92    0.09    0.98   0         
  EDCSNJ1018397-1208112   10.311019   -12.136458   25.208   99.0     23.562   24.806   99.0     23.14    24.663   99.0     22.985   0       0       0.12    0.01    0.26   0         
  EDCSNJ1018396-1214123   10.311001   -12.23675    26.614   99.0     25.086   26.275   99.0     24.859   26.249   99.0     24.444   0       0       0.45    0.48    0.5    0         
  EDCSNJ1018396-1208362   10.311013   -12.143395   24.722   99.0     23.38    24.607   99.0     23.277   24.795   99.0     23.414   0       0       0.96    0.91    0.49   0         
  EDCSNJ1018396-1207436   10.31101    -12.128789   25.943   99.0     24.26    25.447   99.0     23.671   24.97    99.0     23.391   0       0       0.7     0.26    0.0    0         
  EDCSNJ1018396-1214257   10.310987   -12.240472   25.032   99.0     23.955   24.363   99.0     23.605   24.43    99.0     23.676   0       0       0.19    0.0     0.5    0         
  EDCSNJ1018396-1209385   10.311      -12.160706   24.347   99.0     23.671   23.868   99.0     23.26    23.846   99.0     23.296   0       0       0.48    0.01    0.5    0         
  EDCSNJ1018396-1213064   10.310989   -12.218431   24.183   99.0     22.649   23.664   99.0     22.242   23.532   99.0     22.145   0       0       0.21    0.03    0.72   0         
  EDCSNJ1018396-1211160   10.310993   -12.187771   25.473   99.0     24.32    25.417   99.0     24.286   25.587   99.0     24.069   0       0       0.71    0.86    1.0    0         
  EDCSNJ1018396-1209310   10.310992   -12.158612   25.182   99.0     23.931   24.515   99.0     23.426   24.252   99.0     23.279   0       0       0.32    0.01    0.5    0         
  EDCSNJ1018395-1210370   10.310984   -12.176942   25.462   99.0     24.217   25.272   99.0     24.369   25.568   99.0     24.72    0       0       0.68    0.76    0.99   0         
  EDCSNJ1018396-1208044   10.310987   -12.134557   26.108   99.0     25.325   26.037   99.0     25.265   26.423   99.0     99.0     0       0       0.37    0.36    0.18   0         
  EDCSNJ1018395-1211574   10.310968   -12.199272   27.378   99.0     24.834   27.147   99.0     24.646   28.193   99.0     24.909   0       0       0.39    0.49    1.0    0         
  EDCSNJ1018395-1212585   10.310964   -12.216261   24.922   99.0     24.279   24.324   99.0     23.807   24.282   99.0     23.775   0       0       0.64    0.0     0.81   0         
  EDCSNJ1018395-1210232   10.310966   -12.173115   23.271   99.0     21.939   22.956   99.0     21.597   22.941   99.0     21.523   0       0       0.08    0.03    0.99   0         
  EDCSNJ1018395-1210078   10.310966   -12.168842   24.798   99.0     23.357   24.559   99.0     23.11    24.582   99.0     23.187   0       0       0.3     0.02    0.84   0         
  EDCSNJ1018395-1209422   10.310962   -12.161734   24.916   99.0     23.643   24.581   99.0     23.304   24.307   99.0     23.276   0       0       0.92    0.11    0.58   0         
  EDCSNJ1018394-1214337   10.310944   -12.242706   25.21    99.0     23.647   24.585   99.0     23.215   24.394   99.0     23.028   3       3       0.91    0.58    0.41   0         
  EDCSNJ1018394-1210582   10.310954   -12.182832   24.897   99.0     23.188   24.541   99.0     22.879   24.37    99.0     22.829   0       0       0.9     0.21    0.99   0         
  EDCSNJ1018394-1212176   10.310948   -12.204891   25.199   99.0     24.521   25.001   99.0     24.272   24.818   99.0     23.977   0       0       0.84    0.84    1.0    0         
  EDCSNJ1018394-1212509   10.310945   -12.214141   24.777   99.0     23.111   24.624   99.0     22.952   24.638   99.0     22.997   0       0       0.94    0.34    0.87   0         
  EDCSNJ1018394-1211256   10.310948   -12.190431   24.344   99.0     23.665   24.073   99.0     23.302   23.981   99.0     23.198   3       3       0.97    0.65    1.0    0         
  EDCSNJ1018394-1211281   10.310946   -12.191138   23.477   99.0     22.574   22.769   99.0     21.865   22.665   99.0     21.734   2       2       0.03    0.02    1.0    0         
  EDCSNJ1018394-1208424   10.310945   -12.145099   20.571   99.0     19.524   20.123   99.0     19.085   20.022   99.0     18.981   0       0       0.25    0.03    0.49   0         
  EDCSNJ1018394-1207459   10.310946   -12.129404   25.068   99.0     24.042   24.516   99.0     23.44    24.169   99.0     22.875   0       0       0.96    0.0     0.0    0         
  EDCSNJ1018393-1214336   10.310925   -12.242677   25.027   99.0     23.662   24.523   99.0     23.36    24.453   99.0     23.182   2       2       0.96    0.03    0.43   0         
  EDCSNJ1018393-1213441   10.310928   -12.228923   23.564   99.0     21.322   23.328   99.0     21.101   23.255   99.0     21.052   2       2       0.98    0.83    0.5    0         
  EDCSNJ1018393-1213323   10.310922   -12.225632   24.087   99.0     23.429   23.839   99.0     23.228   23.899   99.0     23.304   0       0       0.94    0.24    0.5    0         
  EDCSNJ1018393-1214238   10.310916   -12.239938   26.193   99.0     24.048   26.179   99.0     23.912   26.018   99.0     24.163   0       0       0.47    0.94    0.5    0         
  EDCSNJ1018393-1211408   10.310922   -12.194676   26.382   99.0     25.188   26.481   99.0     24.914   25.847   99.0     24.571   0       0       0.44    0.37    0.99   0         
