# EDISCSID                    RA        Dec         V1     R1     I1     V2     R2     I2     V3    R3    I3    OBJFLAG1?   OBJFLAG2?   CLASS_STAR1?   CLASS_STAR   wmin   Starflag  
  EDCSNJ1018557-1211540   10.315481   -12.198336   25.379   99.0     24.612   24.738   99.0     24.021   24.469   99.0     23.972   2       2       0.67    0.68    0.64   0         
  EDCSNJ1018557-1212052   10.315477   -12.201458   25.471   99.0     24.354   25.037   99.0     24.087   24.798   99.0     24.181   0       0       0.42    0.06    0.64   0         
  EDCSNJ1018557-1208451   10.315486   -12.145851   24.968   99.0     24.325   24.798   99.0     24.111   24.64    99.0     23.884   0       0       0.96    0.18    0.32   0         
  EDCSNJ1018557-1210181   10.315479   -12.171691   25.914   99.0     24.799   26.001   99.0     24.61    26.24    99.0     25.289   0       0       0.52    0.71    0.64   0         
  EDCSNJ1018557-1212405   10.315466   -12.211263   25.6     99.0     24.564   25.799   99.0     24.493   25.827   99.0     24.43    0       0       0.55    0.53    0.65   0         
  EDCSNJ1018557-1211570   10.315468   -12.199164   25.684   99.0     24.852   25.34    99.0     24.707   24.847   99.0     24.656   0       0       0.51    0.63    0.64   0         
  EDCSNJ1018556-1213532   10.315449   -12.231435   22.782   99.0     22.188   22.557   99.0     21.953   22.498   99.0     21.939   2       2       0.98    0.95    0.32   0         
  EDCSNJ1018557-1208401   10.315472   -12.144477   23.719   99.0     22.808   23.413   99.0     22.613   23.352   99.0     22.551   0       0       0.98    0.14    0.31   0         
  EDCSNJ1018557-1207593   10.315472   -12.133128   23.078   99.0     21.292   22.441   99.0     20.761   22.255   99.0     20.613   0       0       0.03    0.03    0.07   0         
  EDCSNJ1018557-1209074   10.315466   -12.152043   25.776   99.0     24.845   25.595   99.0     25.435   25.274   99.0     25.646   0       0       0.58    0.69    0.33   0         
  EDCSNJ1018557-1209457   10.31546    -12.162703   25.552   99.0     23.653   25.163   99.0     23.428   24.973   99.0     23.505   0       0       0.75    0.15    0.38   0         
  EDCSNJ1018556-1209056   10.315457   -12.151564   26.682   99.0     24.468   26.03    99.0     24.293   25.951   99.0     24.245   0       0       0.41    0.73    0.33   0         
  EDCSNJ1018556-1209435   10.315454   -12.162086   25.298   99.0     24.124   24.974   99.0     23.95    25.151   99.0     23.84    0       0       0.51    0.09    0.37   0         
  EDCSNJ1018556-1208533   10.315454   -12.148145   25.405   24.424   22.779   25.438   24.457   22.718   25.682   24.701   22.859   0       0       0.91    0.98    0.31   1         
  EDCSNJ1018556-1213319   10.315433   -12.225525   23.505   99.0     22.135   22.811   99.0     21.365   22.597   99.0     21.072   3       3       0.7     0.03    0.32   0         
  EDCSNJ1018556-1209381   10.315451   -12.160582   25.792   99.0     25.113   25.877   99.0     24.629   26.297   99.0     24.9     0       0       0.51    0.52    0.32   0         
  EDCSNJ1018556-1211021   10.315444   -12.183915   26.222   99.0     24.877   25.861   99.0     24.685   25.604   99.0     25.226   0       0       0.37    0.66    0.65   0         
  EDCSNJ1018556-1211327   10.315441   -12.192426   26.145   99.0     25.027   25.76    99.0     24.568   25.624   99.0     24.645   0       0       0.38    0.5     0.65   0         
  EDCSNJ1018555-1213542   10.315421   -12.231725   24.927   99.0     24.088   24.633   99.0     23.951   24.421   99.0     24.058   3       3       0.96    0.9     0.33   0         
  EDCSNJ1018555-1212016   10.315427   -12.200445   25.765   99.0     25.464   25.462   99.0     24.86    25.471   99.0     26.042   0       0       0.6     0.46    0.65   0         
  EDCSNJ1018555-1211075   10.315424   -12.185425   26.158   99.0     25.257   26.037   99.0     25.384   26.044   99.0     24.878   0       0       0.51    0.48    0.66   0         
  EDCSNJ1018555-1209510   10.315418   -12.164175   24.57    99.0     23.628   24.363   99.0     23.495   24.223   99.0     23.426   3       3       0.97    0.14    0.45   0         
  EDCSNJ1018555-1212079   10.315407   -12.202197   26.485   99.0     25.306   25.95    99.0     24.964   25.622   99.0     25.795   0       0       0.38    0.49    0.69   0         
  EDCSNJ1018554-1213531   10.315396   -12.231417   26.404   99.0     24.667   26.671   99.0     24.889   26.391   99.0     24.635   3       3       0.5     0.74    0.34   0         
  EDCSNJ1018555-1210571   10.315412   -12.182532   23.853   99.0     22.4     23.417   99.0     21.974   23.403   99.0     21.937   0       0       0.03    0.03    0.68   0         
  EDCSNJ1018555-1208061   10.315416   -12.135018   25.373   99.0     24.237   25.266   99.0     23.944   25.254   99.0     24.178   0       0       0.7     0.63    0.12   0         
  EDCSNJ1018555-1209321   10.315411   -12.158917   22.86    99.0     21.317   22.512   99.0     20.968   22.479   99.0     20.942   0       0       0.05    0.03    0.33   0         
  EDCSNJ1018554-1213266   10.315392   -12.224055   21.17    99.0     19.803   20.523   99.0     19.167   20.356   99.0     18.988   3       3       0.03    0.03    0.35   0         
  EDCSNJ1018554-1213583   10.315386   -12.232866   25.267   99.0     24.401   24.862   99.0     24.493   24.954   99.0     25.278   0       0       0.36    0.04    0.34   0         
  EDCSNJ1018554-1210523   10.315401   -12.181206   26.647   99.0     25.027   26.235   99.0     25.396   25.486   99.0     25.57    0       0       0.37    0.71    0.69   0         
  EDCSNJ1018554-1209526   10.315399   -12.164598   24.732   99.0     23.643   24.464   99.0     23.452   24.259   99.0     23.348   3       3       0.96    0.02    0.46   0         
  EDCSNJ1018554-1209415   10.315397   -12.16152    25.992   99.0     24.516   25.75    99.0     24.066   25.541   99.0     23.899   3       3       0.53    0.67    0.37   0         
  EDCSNJ1018554-1207535   10.315399   -12.13152    23.895   99.0     23.292   23.713   99.0     23.054   23.87    99.0     23.141   0       0       0.98    0.13    0.02   0         
  EDCSNJ1018553-1214049   10.315373   -12.234681   24.093   99.0     22.423   23.911   99.0     22.171   23.966   99.0     22.206   0       0       0.97    0.8     0.36   0         
  EDCSNJ1018554-1211231   10.315386   -12.189741   24.754   99.0     23.585   24.095   99.0     23.014   24.018   99.0     22.979   0       0       0.2     0.02    0.71   0         
  EDCSNJ1018554-1209272   10.315391   -12.157559   25.251   99.0     23.968   25.314   99.0     24.044   25.218   99.0     24.109   0       0       0.95    0.13    0.35   0         
  EDCSNJ1018553-1213127   10.315373   -12.220187   29.783   99.0     24.687   99.0     99.0     24.186   99.0     99.0     23.99    0       0       0.35    0.02    0.46   0         
  EDCSNJ1018554-1208593   10.315381   -12.149812   24.705   99.0     22.998   24.241   99.0     22.623   24.21    99.0     22.558   0       0       0.01    0.02    0.35   0         
  EDCSNJ1018553-1211115   10.315373   -12.18652    26.114   99.0     24.695   25.945   99.0     26.891   25.826   99.0     99.0     0       0       0.39    0.23    0.71   0         
  EDCSNJ1018553-1212248   10.315362   -12.2069     25.126   99.0     23.821   24.609   99.0     23.348   24.435   99.0     23.161   2       2       0.87    0.21    0.71   0         
  EDCSNJ1018553-1211468   10.31536    -12.196345   25.206   24.351   23.195   25.044   24.189   23.057   24.718   23.863   22.886   3       3       0.77    0.97    0.73   1         
  EDCSNJ1018553-1212522   10.315352   -12.214488   24.636   99.0     23.949   24.179   99.0     23.59    24.149   99.0     23.54    0       0       0.64    0.01    0.65   0         
  EDCSNJ1018553-1209049   10.315366   -12.151375   25.061   99.0     22.059   24.613   99.0     21.654   24.542   99.0     21.561   0       0       0.69    0.12    0.36   0         
  EDCSNJ1018553-1212023   10.315355   -12.200651   25.822   99.0     24.802   26.123   99.0     24.503   25.763   99.0     24.103   0       0       0.61    0.49    0.73   0         
  EDCSNJ1018553-1211493   10.315352   -12.197029   23.731   99.0     22.19    23.417   99.0     21.887   23.335   99.0     21.839   2       2       0.13    0.03    0.74   0         
  EDCSNJ1018552-1212322   10.315344   -12.208935   25.653   99.0     24.692   25.527   99.0     24.558   25.995   99.0     23.948   0       0       0.55    0.18    0.75   0         
  EDCSNJ1018553-1210542   10.315351   -12.181731   25.437   99.0     23.741   24.9     99.0     23.441   24.316   99.0     23.279   2       2       0.83    0.04    0.73   0         
  EDCSNJ1018552-1209405   10.315342   -12.161246   23.544   99.0     21.533   23.141   99.0     21.147   23.044   99.0     21.056   2       2       0.68    0.03    0.38   0         
  EDCSNJ1018552-1210354   10.315335   -12.17651    25.485   99.0     24.703   24.956   99.0     24.323   24.78    99.0     24.24    0       0       0.56    0.08    0.79   0         
  EDCSNJ1018552-1210287   10.315329   -12.174633   26.286   99.0     24.852   26.135   99.0     24.653   25.902   99.0     24.148   0       0       0.42    0.46    0.79   0         
