# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   wmin   Starflag  
  EDCSNJ1059265-1252109   10.990701   -12.86969    24.622   -999.0   23.14    24.126   -999.0   22.663   24.162   -999.0   22.53    0       0       0.65    0.17    0.0    0         
  EDCSNJ1059266-1254362   10.990726   -12.910052   25.088   -999.0   23.29    24.706   -999.0   23.129   24.623   -999.0   23.325   3       3       0.76    0.3     0.0    0         
  EDCSNJ1059266-1249342   10.990714   -12.826166   24.998   -999.0   24.268   24.639   -999.0   23.736   24.327   -999.0   23.264   0       0       0.66    0.65    0.0    0         
  EDCSNJ1059265-1251420   10.990695   -12.861656   22.708   -999.0   20.862   22.099   -999.0   20.307   21.933   -999.0   20.153   2       2       0.08    0.03    0.0    0         
  EDCSNJ1059265-1253557   10.990702   -12.898815   26.651   -999.0   24.807   25.985   -999.0   24.172   25.945   -999.0   23.718   3       3       0.35    0.66    0.0    0         
  EDCSNJ1059265-1254095   10.990705   -12.902633   25.396   -999.0   24.801   25.044   -999.0   24.503   25.185   -999.0   24.811   0       0       0.52    0.44    0.0    0         
  EDCSNJ1059265-1252186   10.990687   -12.871834   23.48    -999.0   22.588   22.89    -999.0   22.023   22.736   -999.0   21.921   3       3       0.05    0.02    0.0    0         
  EDCSNJ1059265-1253065   10.990683   -12.885139   26.836   -999.0   24.461   26.192   -999.0   24.098   26.525   -999.0   24.078   0       0       0.43    0.65    0.0    0         
  EDCSNJ1059265-1253431   10.990687   -12.895307   24.871   -999.0   23.138   24.688   -999.0   22.841   24.897   -999.0   22.989   0       0       0.84    0.01    0.0    0         
  EDCSNJ1059264-1251438   10.990676   -12.862176   23.466   -999.0   22.124   23.417   -999.0   22.079   23.303   -999.0   21.997   3       3       0.98    0.38    0.0    0         
  EDCSNJ1059264-1251209   10.990675   -12.855793   26.154   -999.0   24.654   25.27    -999.0   24.437   24.524   -999.0   23.68    0       0       0.6     0.38    0.0    0         
  EDCSNJ1059264-1251239   10.990671   -12.856635   27.486   -999.0   24.906   25.655   -999.0   24.092   24.616   -999.0   23.686   0       0       0.48    0.45    0.0    0         
  EDCSNJ1059264-1253116   10.990671   -12.886546   24.91    -999.0   23.333   24.716   -999.0   23.174   24.769   -999.0   23.338   3       3       0.74    0.87    0.0    0         
  EDCSNJ1059264-1253387   10.990674   -12.894076   26.044   -999.0   22.616   25.893   -999.0   22.511   26.346   -999.0   22.472   0       0       0.48    0.81    0.0    0         
  EDCSNJ1059264-1250481   10.990667   -12.846695   24.947   -999.0   23.994   24.593   -999.0   23.512   24.556   -999.0   23.651   0       0       0.83    0.24    0.0    0         
  EDCSNJ1059264-1253528   10.990669   -12.898003   26.01    -999.0   24.988   26.387   -999.0   24.848   26.889   -999.0   24.459   0       0       0.44    0.49    0.0    0         
  EDCSNJ1059265-1254348   10.990681   -12.909658   24.104   -999.0   23.023   23.705   -999.0   22.635   23.626   -999.0   22.623   3       3       0.41    0.01    0.0    0         
  EDCSNJ1059264-1249100   10.990667   -12.819447   26.662   -999.0   24.54    26.221   -999.0   23.816   26.998   -999.0   23.574   0       0       0.5     0.6     0.0    0         
  EDCSNJ1059263-1253095   10.990648   -12.885971   25.058   -999.0   22.831   24.464   -999.0   22.483   24.335   -999.0   22.347   3       3       0.77    0.09    0.0    0         
  EDCSNJ1059263-1252206   10.990645   -12.872397   24.375   -999.0   23.035   23.813   -999.0   22.593   23.659   -999.0   22.612   3       3       0.08    0.01    0.0    0         
  EDCSNJ1059263-1252587   10.990646   -12.882962   25.423   -999.0   24.363   24.893   -999.0   24.37    24.629   -999.0   24.272   0       0       0.53    0.66    0.0    0         
  EDCSNJ1059265-1255414   10.990702   -12.928164   25.282   -999.0   22.76    24.652   -999.0   22.419   24.535   -999.0   22.331   3       3       0.71    0.06    0.0    0         
  EDCSNJ1059264-1249498   10.990653   -12.830495   24.39    -999.0   23.705   24.099   -999.0   23.269   23.972   -999.0   22.997   0       0       0.96    0.16    0.0    0         
  EDCSNJ1059263-1251464   10.990633   -12.862891   24.78    -999.0   23.086   24.057   -999.0   22.544   23.698   -999.0   22.352   3       3       0.14    0.01    0.0    0         
  EDCSNJ1059263-1249442   10.990644   -12.828953   24.982   -999.0   24.677   24.675   -999.0   24.371   24.442   -999.0   24.508   0       0       0.63    0.49    0.0    0         
  EDCSNJ1059265-1255367   10.990684   -12.926865   26.283   -999.0   25.566   25.548   -999.0   24.933   25.867   -999.0   24.664   0       0       0.43    0.49    0.0    0         
  EDCSNJ1059263-1254311   10.990651   -12.908645   23.786   -999.0   21.843   23.384   -999.0   21.521   23.319   -999.0   21.419   0       0       0.97    0.92    0.0    0         
  EDCSNJ1059264-1255411   10.990676   -12.92808    24.735   -999.0   23.625   24.512   -999.0   23.339   24.488   -999.0   23.07    3       3       0.88    0.84    0.0    0         
  EDCSNJ1059263-1249235   10.990634   -12.823197   25.207   -999.0   23.651   24.846   -999.0   23.403   24.632   -999.0   23.263   0       0       0.5     0.18    0.0    0         
  EDCSNJ1059262-1251525   10.990615   -12.864594   25.06    -999.0   24.134   24.857   -999.0   23.757   24.736   -999.0   23.524   0       0       0.74    0.25    0.0    0         
  EDCSNJ1059262-1253561   10.990622   -12.89892    24.652   -999.0   23.481   24.122   -999.0   22.98    24.084   -999.0   23.036   0       0       0.52    0.15    0.0    0         
  EDCSNJ1059262-1252398   10.990607   -12.877725   23.876   -999.0   22.267   23.382   -999.0   21.851   23.304   -999.0   21.797   0       0       0.15    0.03    0.0    0         
  EDCSNJ1059262-1253094   10.990606   -12.88594    24.979   -999.0   24.282   24.85    -999.0   24.242   25.141   -999.0   24.31    3       3       0.72    0.66    0.0    0         
  EDCSNJ1059263-1255289   10.990643   -12.924685   23.75    -999.0   20.028   23.481   -999.0   19.825   23.481   -999.0   19.77    0       0       0.96    0.98    0.0    1         
  EDCSNJ1059261-1251305   10.990588   -12.858485   25.498   -999.0   24.808   25.368   -999.0   24.393   25.458   -999.0   24.733   0       0       0.54    0.45    0.0    0         
  EDCSNJ1059261-1253454   10.990595   -12.895956   24.428   -999.0   23.632   24.139   -999.0   23.159   24.01    -999.0   22.946   0       0       0.95    0.07    0.0    0         
  EDCSNJ1059261-1252253   10.990583   -12.873691   25.288   -999.0   24.09    25.046   -999.0   24.151   24.943   -999.0   24.418   0       0       0.68    0.18    0.0    0         
  EDCSNJ1059261-1251583   10.990577   -12.866191   25.166   -999.0   25.091   24.736   -999.0   24.881   24.614   -999.0   25.941   0       0       0.61    0.48    0.0    0         
  EDCSNJ1059260-1253196   10.990569   -12.888768   25.953   -999.0   23.82    25.647   -999.0   23.744   25.397   -999.0   23.954   0       0       0.38    0.89    0.0    0         
  EDCSNJ1059262-1255399   10.990603   -12.927754   27.207   -999.0   23.389   26.454   -999.0   23.081   26.386   -999.0   22.812   3       3       0.37    0.53    0.0    0         
  EDCSNJ1059261-1255006   10.990579   -12.916828   25.932   -999.0   24.397   25.138   -999.0   23.806   24.824   -999.0   23.717   0       0       0.37    0.67    0.0    0         
  EDCSNJ1059260-1254386   10.990563   -12.910713   26.5     -999.0   24.772   26.629   -999.0   24.305   26.568   -999.0   24.99    0       0       0.4     0.49    0.0    0         
